Placa;Descrição
OKD4374;TRACAO TRATOR DE RODAS
MINI 25;MINIESCAVADEIRA 
MBS1J02;CAMINHÃO
MINI 24;MINIESCAVADEIRA 
AHM8F70;CARGA CAMINHÃO
BOBCAT 22;MINICARREGADEIRA
QHQ3G94; CAMINHÃO TERM.
QHL4B64; CAMINHÃO TERM.
QIZ5I82; CAMINHÃO TERM.
RXZ5I74; CAMINHÃO TERM.
MINI 33;MINIESCAVADEIRA
MIX8A53;CAMINHÃO BASC.
MKA3I23;CAMINHÃO BASC.
LYF4330;CAMINHÃO BASC.
AIJ0I66;CAMINHÃO BASC.
IOX7B63;CAMINHÃO PRANCHA
MBK9080;CAMINHÃO PRANCHA
MJI8662;CAMINHÃO BASC.
ROLO 29;ROLO COMPACTADOR 
ROLO 18;ROLO COMPACTADOR 
OKD4614;TRACAO TRATOR DE RODAS
BOBCAT 21;MINICARREGADEIRA
ATA8E06; CAMINHÃO TERM.
SXY3J06;CAMINHÃO BASC.
